CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
[Dual CPU] AMD EPYC 9454,48,"134,517","3,030",290,SP5,Laptop
AMD Ryzen 9 7945HX3D,16,"57,796","4,116",55,FL1,Laptop
AMD Ryzen 9 7945HX,16,"54,698","4,050",55,FL1,Laptop
AMD Ryzen 9 7940HX,16,"53,704","3,946",55,AM5 (LGA 1718),"Desktop, Laptop"
Intel Core i9-13980HX,24,"47,274","4,308",55,FCBGA1964,Laptop
Intel Core i9-14900HX,24,"46,612","4,314",55,FCBGA1964,Laptop
AMD Ryzen 9 7845HX,12,"45,723","3,977",55,FL1,Laptop
Intel Core i9-13900HX,24,"44,566","4,145",55,FCBGA1964,Laptop
Intel Core i9-13950HX,24,"43,941","4,034",55,FCBGA1964,Laptop
Apple M3 Max 16 Core,16,"40,752","4,787",78,Unknown,Laptop
Intel Core i7-14650HX,16,"38,148","3,913",157,FCBGA1964,Laptop
Intel Core i7-13850HX,20,"37,992","3,846",55,FCBGA1964,Laptop
Intel Core i7-14700HX,20,"37,297","3,951",55,FCBGA1964,Laptop
Apple M3 Max 14 Core,14,"36,363","4,765",78,Unknown,Laptop
Intel Core i9-12900HX,16,"34,170","3,834",55,FCBGA1964,Laptop
Intel Core i7-13700HX,16,"33,944","3,879",55,FCBGA1964,Laptop
AMD Ryzen 7 7745HX,8,"32,770","3,958",55,AM5 (LGA 1718),Laptop
Intel Core i9-12950HX,16,"32,420","3,827",55,FCBGA1964,Laptop
Intel Core i7-12800HX,16,"32,419","3,751",55,FCBGA1964,Laptop
AMD Ryzen 9 8945H,8,"31,708","3,996",45,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core i9-13900HK,14,"31,690","3,990",45,FCBGA1744,Laptop
Intel Core i7-13650HX,14,"31,625","3,829",55,FCBGA1964,Laptop
Intel Core i7-12850HX,16,"30,802","3,711",55,FCBGA1964,Laptop
AMD Ryzen 9 7940HS,8,"30,413","3,902",54,FP7 FP7r2 FP8,Laptop
Intel Core i9-13905H,14,"30,133","3,646",45,FCBGA1792,Laptop
Intel Core i5-13500HX,14,"29,881","3,644",55,FCBGA1964,Laptop
AMD Ryzen 9 8945HS,8,"29,387","3,860",45,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core Ultra 9 185H,16,"29,048","3,735",45,FCBGA2049,Laptop
Intel Core i9-13900H,14,"29,004","3,853",45,FCBGA1744,Laptop
AMD Ryzen 7 7840HS,8,"28,943","3,780",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 8845HS,8,"28,899","3,751",45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8845H,8,"28,774","3,708",45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 PRO 8845HS,8,"28,629","3,879",45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 9 7940H,8,"28,608","3,996",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 7840H,8,"28,504","3,739",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 PRO 8840HS,8,"28,321","3,820",28,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core i5-14500HX,14,"28,177","3,519",55,FCBGA1964,Laptop
AMD Ryzen 9 PRO 7940HS,8,"28,170","3,717",45,FP7 FP7r2,Laptop
Intel Core i9-12900H,14,"28,108","3,794",45,FCBGA1744,Laptop
Intel Core i9-12900HK,14,"27,615","3,651",45,FCBGA1744,Laptop
Intel Core i5-13600HX,14,"27,520","3,646",55,FCBGA1964,Laptop
Intel Core i7-13700H,14,"27,386","3,653",45,FCBGA1744,Laptop
Apple M3 Pro 12 Core,12,"27,226","4,693",27,Unknown,Laptop
Intel Core i7-13800H,14,"27,074","3,611",45,FCBGA1744,Laptop
AMD Ryzen 5 7645HX,6,"26,868","3,915",55,AM5 (LGA 1718),Laptop
AMD Ryzen 7 PRO 7840HS,8,"26,560","3,482",54,FP7 FP7r2 FP8,Laptop
Apple M2 Max 12 Core 3680 MHz,12,"26,470","4,145",NA,Unknown,Laptop
Apple M2 Pro 12 Core 3480 MHz,12,"26,399","4,108",NA,Unknown,Laptop
Intel Core Ultra 7 165H,16,"26,343","3,549",28,FCBGA2049,Laptop
Intel Core i7-12700H,14,"26,225","3,589",45,FCBGA1744,Laptop
Intel Core i5-13450HX,10,"25,506","3,576",55,FCBGA1964,Laptop
Intel Core i7-13620H,10,"25,352","3,675",45,FCBGA1744,Laptop
Intel Core Ultra 7 155H,16,"25,065","3,550",28,Unknown,Laptop
AMD Ryzen 7 PRO 8840U,8,"25,037","3,888",28,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 7 7840U,8,"25,007","3,600",30,Unknown,Laptop
AMD Ryzen 7 PRO 7840U,8,"24,925","3,707",30,Unknown,Laptop
AMD Ryzen 7 7435HS,8,"24,869","3,329",45,FP7r2,"Desktop, Laptop"
Intel Core i7-12800H,14,"24,857","3,487",45,FCBGA1744,Laptop
AMD Ryzen 7 8840HS,8,"24,852","3,645",28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 9 6900HX,8,"24,823","3,442",45,FP7,Laptop
Qualcomm Snapdragon X Elite - X1E-84-100,12,"24,719","3,937",NA,Unknown,Laptop
AMD Ryzen 7 7840S,8,"24,635","3,680",54,FP7 FP7r2 FP8,Laptop
Apple M3 Pro 11 Core,11,"24,634","4,758",27,Unknown,Laptop
Intel Core i5-12600HX,12,"24,579","3,699",55,FCBGA1964,Laptop
Intel Core i5-13600H,12,"24,255","3,696",45,FCBGA1744,Laptop
AMD Ryzen 7 7735H,8,"24,207","3,323",54,FP7,Laptop
AMD Ryzen 7 7735HS,8,"24,115","3,358",54,FP7,Laptop
Qualcomm Snapdragon X Elite - X1E-78-100,12,"23,993","3,215",23,Unknown,Laptop
AMD Ryzen 7 8840U,8,"23,880","3,721",28,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core Ultra 5 135H,14,"23,684","3,564",28,FCBGA2049,Laptop
AMD Ryzen 9 6900HS,8,"23,640","3,295",35,FP7,Laptop
Intel Core i7-13705H,14,"23,624","3,498",45,FCBGA1792,Laptop
AMD Ryzen 9 5980HX,8,"23,564","3,342",45,FP6,Laptop
AMD Ryzen 7 6800H,8,"23,485","3,253",45,FP7,Laptop
AMD Ryzen 5 8645HS,6,"23,129","3,795",45,"FP7 , FP7r2 , FP","Desktop, Laptop"
Intel Core i7-13700TE,16,"23,074","3,228",35,FCLGA1700,Laptop
Qualcomm Snapdragon X Elite - X1E-80-100,12,"23,001","3,406",NA,Unknown,Laptop
Qualcomm Snapdragon X Plus X1P-64-100,10,"22,960","3,257",NA,Unknown,Laptop
AMD Ryzen 7 6800HS,8,"22,914","3,213",35,FP7,Laptop
AMD Ryzen 7 PRO 6850H,8,"22,908","3,234",45,FP7,Laptop
Intel Core i9-11980HK @ 2.60GHz,8,"22,854","3,281",45,FCBGA1787,Laptop
Intel Core i5-13500H,12,"22,851","3,562",45,Unknown,Laptop
Intel Core i5-12600H,12,"22,839","3,578",45,FCBGA1744,Laptop
AMD Ryzen 5 PRO 7640HS,6,"22,778","3,685",54,FP7 FP7r2,Laptop
Intel Core i7-12650H,10,"22,756","3,599",45,FCBGA1744,Laptop
AMD Ryzen 5 7640HS,6,"22,706","3,602",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 9 PRO 6950HS,8,"22,697","3,405",35,FP7,Laptop
Intel Core Ultra 5 125H,14,"22,649","3,567",28,FCBGA2049,Laptop
Intel Xeon W-11955M @ 2.60GHz,8,"22,604","3,292",45,FCBGA1787,"Laptop, Server"
AMD Ryzen 9 5900HX,8,"22,565","3,195",45,FP6,Laptop
AMD Ryzen 9 PRO 6950H,8,"22,447","3,203",45,FP7,Laptop
AMD Ryzen 7 7736U,8,"22,195","3,338",28,FP7,Laptop
AMD Ryzen 9 5900HS Creator Edition,8,"22,138","3,275",35,Unknown,Laptop
AMD Ryzen 7 PRO 6850HS,8,"22,114","3,285",35,FP7,Laptop
Apple M1 Max 10 Core 3200 MHz,10,"22,042","3,837",NA,Unknown,"Desktop, Laptop"
AMD Ryzen 5 PRO 8640HS,6,"22,041","3,735",28,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 9 6900HS Creator Edition,8,"21,879","3,341",35,FP7,Laptop
AMD Ryzen 7 6800HS Creator Edition,8,"21,878","3,240",35,FP7,Laptop
Apple M1 Pro 10 Core 3200 MHz,10,"21,840","3,807",NA,Unknown,"Desktop, Laptop"
AMD Ryzen 9 5900HS,8,"21,694","3,165",35,FP6,Laptop
Apple M2 Pro 10 Core 3480 MHz,10,"21,668","4,103",NA,Unknown,"Desktop, Laptop"
AMD Ryzen 5 7640U,6,"21,492","3,572",28,FP7 FP7r2 FP8,Laptop
AMD Ryzen 9 5980HS,8,"21,318","3,192",35,FP6,Laptop
AMD Ryzen 7 7735U,8,"21,304","3,288",28,FP7,Laptop
Intel Core i9-11950H @ 2.60GHz,8,"21,295","3,190",45,FCBGA1787,Laptop
AMD Ryzen 5 8640HS,6,"21,265","3,701",28,"FP7 , FP7r2 , FP","Desktop, Laptop"
Intel Core i5-12500H,12,"21,250","3,478",45,FCBGA1744,Laptop
AMD Ryzen 7 5800HS Creator Edition,8,"21,166","3,100",NA,Unknown,Laptop
AMD Ryzen 7 5800H,8,"21,049","3,047",45,FP6,Laptop
AMD Ryzen 7 PRO 6860Z,8,"20,863","3,167",28,Unknown,Laptop
AMD Ryzen 7 PRO 6850U,8,"20,807","3,234",28,FP7,Laptop
Intel Core i9-11900H @ 2.50GHz,8,"20,652","3,134",45,FCBGA1787,Laptop
AMD Ryzen 5 8640U,6,"20,642","3,409",28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 6800U,8,"20,581","3,210",28,Unknown,Laptop
Intel Core i7-11850H @ 2.50GHz,8,"20,557","3,120",45,FCBGA1787,Laptop
AMD Ryzen 9 5900H,8,"20,557","2,977",NA,AM4,Laptop
Intel Core i7-11800H @ 2.30GHz,8,"20,534","3,080",45,FCBGA1787,Laptop
Intel Core i7-1280P,14,"20,439","3,324",28,FCBGA1744,Laptop
AMD Ryzen 7 Pro 7735U,8,"20,360","3,226",28,FP7,Laptop
Intel Core i7-1370P,14,"20,190","3,560",28,FCBGA1744,Laptop
Intel Core i5-1250P,12,"20,185","3,537",28,BGA1700,Laptop
AMD Ryzen 7 5800HS,8,"20,133","3,035",35,FP6,Laptop
Apple M3 8 Core,8,"19,561","4,843",20,Unknown,"Desktop, Laptop, Mobile/Embedded"
Intel Core i7-1360P,12,"19,323","3,568",28,FCBGA1744,Laptop
AMD Ryzen 5 8540U,6,"19,316","3,747",28,FP7 FP7r2,"Desktop, Laptop"
AMD Ryzen 5 PRO 8540U,6,"19,316","3,813",28,FP7 FP7r2,"Desktop, Laptop, Mobile/Embedded"
AMD Ryzen 7 PRO 7730U,8,"19,225","3,093",15,Unknown,Laptop
AMD Ryzen 5 7540U,6,"19,213","3,722",28,FP7 FP7r2,Laptop
Intel Core i5-1350P,12,"19,176","3,584",28,FCBGA1744,Laptop
AMD Ryzen 9 4900H,8,"19,155","2,706",45,FP6,Laptop
AMD Ryzen 9 4900HS,8,"19,001","2,600",35,FP6,Laptop
AMD Ryzen 5 PRO 6650H,6,"18,928","3,214",45,FP7,Laptop
AMD Ryzen 5 6600H,6,"18,872","3,201",45,FP7,Laptop
Intel Core i5-1340P,12,"18,869","3,540",28,FCBGA1744,Laptop
Intel Core i5-12450HX,8,"18,746","3,414",148,FCBGA1964,Laptop
Intel Core i5-13420H,8,"18,724","3,460",45,FCBGA1744,Laptop
AMD Ryzen 7 7730U,8,"18,642","3,063",15,FP6,Laptop
AMD Ryzen 7 4800H,8,"18,540","2,616",45,FP6,Laptop
AMD Ryzen 7 5800U,8,"18,497","3,043",15,FP6,Laptop
AMD Ryzen 5 7535HS,6,"18,395","3,179",35,FP7,Laptop
AMD Ryzen 7 5825U,8,"18,384","3,058",15,AM4,Laptop
AMD Ryzen 7 4800HS,8,"18,370","2,576",45,FP6,Laptop
AMD Ryzen 5 6600HS Creator Edition,6,"18,354","3,119",35,FP7,Laptop
AMD Ryzen 5 PRO 7540U,6,"18,172","3,570",30,FP7 FP7r2,Laptop
Intel Xeon W-11855M @ 3.20GHz,6,"18,161","3,256",45,FCBGA1787,"Laptop, Server"
Intel Core Ultra 5 135U,12,"17,960","3,344",28,Unknown,Laptop
Intel Core Ultra 7 165U,12,"17,749","3,438",15,Unknown,Laptop
Intel Core Ultra 5 125U,12,"17,702","3,354",15,FCBGA2049,Laptop
AMD Ryzen 7 4980U Microsoft Surface Edition,8,"17,469","2,752",15,FP6,Laptop
Intel Core i7-1270P,12,"17,415","3,401",28,BGA1700,Laptop
Intel Core i5-1240P,12,"17,227","3,285",28,FCBGA1744,Laptop
Apple M1 Pro 8 Core 3200 MHz,8,"17,164","3,773",NA,Unknown,"Desktop, Laptop"
Intel Core i5-12450H,8,"17,126","3,390",45,FCBGA1744,Laptop
Intel Core i7-1260P,12,"17,110","3,306",28,FCBGA1744,Laptop
AMD Ryzen 7 PRO 5850U,8,"17,046","3,003",15,FP6,Laptop
AMD Ryzen 5 5600H,6,"17,018","2,949",45,FP6,Laptop
AMD Ryzen 5 Pro 7535U,6,"16,971","3,187",28,FP7,Laptop
AMD Ryzen 7 Extreme Edition,8,"16,903","2,457",NA,FP6,Laptop
Intel Core i7-12700TE,12,"16,833","2,661",35,FCLGA1700,"Laptop, Mobile/Embedded"
AMD Ryzen 5 6600U,6,"16,792","3,195",25,FP7,Laptop
AMD Ryzen 5 PRO 6650U,6,"16,728","3,192",28,FP7,Laptop
AMD Ryzen 7 4800U,8,"16,691","2,571",15,FP6,Laptop
Intel Core i7-11600H @ 2.90GHz,6,"16,685","3,106",45,FCBGA1787,Laptop
Intel Core Ultra 7 155U,12,"16,626","3,526",15,FCBGA2049,Laptop
Intel Core i7-10700E @ 2.90GHz,8,"16,599","2,882",65,FCLGA1200,"Laptop, Mobile/Embedded"
AMD Ryzen 7 PRO 5875U,8,"16,249","2,885",15,FP6,Laptop
AMD Ryzen 5 7535U,6,"16,211","3,134",28,FP7,Laptop
Intel Core i5-11500H @ 2.90GHz,6,"16,171","3,085",45,FCBGA1787,Laptop
AMD Ryzen 5 7530U,6,"16,148","3,124",15,FP6,Laptop
AMD Ryzen 7 4850U Mobile,8,"15,920","2,654",15,FP6,Laptop
AMD Ryzen 7 5700U,8,"15,852","2,591",15,FP6,Laptop
Intel Core i5-11260H @ 2.60GHz,6,"15,798","2,933",45,FCBGA1787,Laptop
Intel Xeon W-10885M @ 2.40GHz,8,"15,700","2,759",45,FCBGA1440,"Laptop, Server"
Intel Core i5-11400H @ 2.70GHz,6,"15,670","3,004",45,FCBGA1787,Laptop
Apple M2 8 Core 3500 MHz,8,"15,532","3,921",NA,Unknown,"Desktop, Laptop"
Intel Core i9-10980HK @ 2.40GHz,8,"15,480","2,778",45,FCBGA1440,Laptop
AMD Ryzen 5 5600U,6,"15,450","2,916",15,FP6,Laptop
Intel Core i5-1345U,10,"15,381","3,524",15,FCBGA1744,Laptop
AMD Ryzen 5 7430U,6,"15,359","3,056",15,AM4,Laptop
Intel Core 7 150U,10,"15,225","3,506",15,FCBGA1744,Laptop
AMD Ryzen 7 PRO 4750U,8,"15,217","2,508",15,FP6,Laptop
AMD Ryzen 5 5560U,6,"15,103","2,831",15,AM4,Laptop
Intel Core i9-10885H @ 2.40GHz,8,"15,075","2,750",45,FCBGA1440,Laptop
Intel Xeon E-2286M @ 2.40GHz,8,"15,055","2,729",45,FCBGA1440,Laptop
Intel Core i7-1355U,10,"15,044","3,555",15,FCBGA1744,Laptop
AMD Ryzen 5 PRO 7530U,6,"15,014","3,025",15,FP6,Laptop
AMD Ryzen 5 5625U,6,"14,983","2,892",15,FP6,Laptop
Intel Core i7-1365U,10,"14,975","3,567",15,FCBGA1744,Laptop
AMD Ryzen 5 PRO 5650U,6,"14,921","2,932",15,FP6,Laptop
Intel Core i7-10875H @ 2.30GHz,8,"14,875","2,727",45,FCBGA1440,Laptop
Intel Core i5-1335U,10,"14,851","3,440",15,FCBGA1744,Laptop
Intel Core Ultra 7 164U,12,"14,811","3,211",9,FCBGA2551,Laptop
AMD Ryzen 5 PRO 4400GE,6,"14,795","2,664",35,Unknown,Laptop
Intel Core i9-10880H @ 2.30GHz,8,"14,642","2,765",45,FCBGA1440,Laptop
AMD Ryzen 5 PRO 5675U,6,"14,639","2,985",15,FP6,Laptop
Intel Core i5-12500TE,6,"14,536","2,960",35,FCLGA1700,"Laptop, Mobile/Embedded"
Intel Core i7-10870H @ 2.20GHz,8,"14,469","2,672",45,FCBGA1440,Laptop
Intel Core i3-1220P,10,"14,463","3,411",28,FCBGA1744,Laptop
AMD Ryzen 5 4600H,6,"14,441","2,434",45,FP6,Laptop
AMD Ryzen 5 4600HS,6,"14,230","2,398",35,FP6,Laptop
Intel Core i7-1260U,10,"14,197","3,230",9,FCBGA1781,Laptop
Apple M1 8 Core 3200 MHz,8,"14,177","3,697",15.1,Unknown,"Desktop, Laptop, Mobile/Embedded"
Intel Core i5-1334U,10,"14,158","3,486",15,FCBGA1744,Laptop
Intel Core i9-9980HK @ 2.40GHz,8,"14,132","2,531",45,FCBGA1440,Laptop
Intel Core i7-1265U,10,"13,817","3,199",15,FCBGA1744,"Laptop, Mobile/Embedded"
Intel Core i5-1240U,10,"13,745","3,086",29,FCBGA1744,Laptop
Intel Core i9-9880H @ 2.30GHz,8,"13,738","2,505",45,FCBGA1440,Laptop
Intel Core i7-1255U,10,"13,737","3,290",15,FCBGA1744,Laptop
AMD Ryzen 5 4600U,6,"13,466","2,437",15,FP6,Laptop
Intel Core i5-1235U,10,"13,428","3,222",15,FCBGA1744,"Laptop, Mobile/Embedded"
Intel Core i5-1245U,10,"13,417","3,135",15,FCBGA1744,"Laptop, Mobile/Embedded"
AMD Ryzen 7 4700U,8,"13,397","2,525",15,FP6,Laptop
Intel Core i7-10700TE @ 2.00GHz,8,"13,368","2,594",35,FCLGA1200,Laptop
AMD Ryzen 5 5500U,6,"13,036","2,441",15,FP6,Laptop
AMD Ryzen 3 PRO 7330U,4,"12,731","3,181",15,FP6,Laptop
Intel Xeon W-10855M @ 2.80GHz,6,"12,730","2,778",45,FCBGA1440,"Laptop, Server"
AMD Ryzen 5 PRO 4650U,6,"12,689","2,431",15,FP6,Laptop
Intel Core i3-1315U,6,"12,400","3,550",15,FCBGA1744,Laptop
AMD Ryzen 3 PRO 7335U,4,"12,333","3,108",30,FP7r2,"Desktop, Laptop"
Intel Core i3-12100TE,4,"12,314","3,101",35,FCLGA1700,"Laptop, Mobile/Embedded"
AMD Ryzen 5 PRO 4500U,6,"12,117","2,491",15,FP6,Laptop
Intel Core i7-1250U,10,"11,988","2,822",9,FCBGA1781,Laptop
Intel Core i7-8700B @ 3.20GHz,6,"11,936","2,733",65,FCBGA1440,Laptop
Intel Core i7-10750H @ 2.60GHz,6,"11,891","2,660",45,FCBGA1440,Laptop
Intel Core 3 100U,6,"11,885","3,696",15,FCBGA1744,Laptop
Snapdragon 8cx Gen 3 @ 3.0 GHz,8,"11,840","2,441",NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-11375H @ 3.30GHz,4,"11,839","2,962",35,FCBGA1449,Laptop
Intel Core i7-10850H @ 2.70GHz,6,"11,818","2,687",45,FCBGA1440,Laptop
Intel Xeon E-2276M @ 2.80GHz,6,"11,812","2,623",45,FCBGA1440,Laptop
Intel Core i7-11370H @ 3.30GHz,4,"11,712","2,939",35,FCBGA1449,Laptop
Microsoft SQ3 @ 3.0 GHz,8,"11,684","2,365",NA,Unknown,Laptop
AMD Ryzen 5 5500H,4,"11,659","3,011",45,FP6,Laptop
Intel Core Ultra 5 134U,12,"11,597","2,756",30,FCBGA2551,"Laptop, Mobile/Embedded"
Intel Xeon E-2186M @ 2.90GHz,6,"11,595","2,573",45,FCBGA1440,Laptop
AMD Ryzen 3 7335U,4,"11,535","2,837",28,FP7,"Desktop, Laptop"
AMD Ryzen 3 5425U,4,"11,422","2,935",15,FP6,Laptop
AMD Ryzen 3 PRO 5475U,4,"11,381","2,905",15,FP6,Laptop
Intel Core i5-10500H @ 2.50GHz,6,"11,238","2,586",45,FCBGA1440,Laptop
Intel Core i5-1230U,10,"11,101","2,755",9,FCBGA1781,Laptop
AMD Ryzen 3 PRO 5450U,4,"11,066","2,740",15,FP6,Laptop
Intel Core i7-9850H @ 2.60GHz,6,"11,036","2,484",45,Unknown,Laptop
AMD Ryzen 3 7330U,4,"11,036","3,028",15,FP6,Laptop
AMD Ryzen 3 5400U,4,"11,032","2,737",15,FP6,Laptop
Intel Core i5-11320H @ 3.20GHz,4,"10,996","2,954",35,FCBGA1449,Laptop
Intel Core i3-1215U,6,"10,974","3,326",15,FCBGA1744,Laptop
Intel Core i5-11300H @ 3.10GHz,4,"10,932","2,807",35,FCBGA1449,Laptop
AMD Ryzen 5 4500U,6,"10,930","2,435",15,FP6,Laptop
AMD Ryzen 3 PRO 4200GE,4,"10,930","2,540",35,Unknown,Laptop
Intel Xeon E-2176M @ 2.70GHz,6,"10,886","2,468",45,FCBGA1440,Laptop
Intel Core i7-9750H @ 2.60GHz,6,"10,850","2,429",45,FCBGA1440,Laptop
Intel Core i7-1195G7 @ 2.90GHz,4,"10,811","3,027",28,FCBGA1449,Laptop
Intel Core i7-9750HF @ 2.60GHz,6,"10,608","2,428",45,FCBGA1440,Laptop
Intel Core i9-8950HK @ 2.90GHz,6,"10,513","2,438",45,FCBGA1440,Laptop
Intel Core i3-1210U,6,"10,513","3,367",9,BGA1781,Laptop
Intel Core i7-1185G7 @ 3.00GHz,4,"10,427","2,817",15,BGA1526,Laptop
Intel Core i7-9700TE @ 1.80GHz,8,"10,280","2,201",35,FCLGA1151-2,"Desktop, Laptop"
Intel Core i7-1185G7E @ 2.80GHz,4,"10,256","2,621",15,FCBGA1449,"Laptop, Mobile/Embedded"
Intel Core i7-1165G7 @ 2.80GHz,4,"10,228","2,811",15,BGA1526,Laptop
Intel Core i7-8850H @ 2.60GHz,6,"10,224","2,387",45,FCBGA1440,Laptop
Intel Core i5-1155G7 @ 2.50GHz,4,"10,162","2,916",28,FCBGA1449,Laptop
Intel Core i3-N305,8,"10,081","2,227",15,FCBGA1264,"Laptop, Mobile/Embedded"
Intel Core i7-11390H @ 3.40GHz,4,"10,035","2,892",35,FCBGA1449,Laptop
AMD Ryzen 3 PRO 4450U,4,"9,994","2,350",15,FP6,Laptop
Intel Core i7-8750H @ 2.20GHz,6,"9,897","2,295",45,FCBGA1440,Laptop
Intel Core i5-9500TE @ 2.20GHz,6,"9,861","2,370",35,FCLGA1151-2,Laptop
Intel Core i5-1145G7 @ 2.60GHz,4,"9,804","2,747",28,FCBGA1449,Laptop
Intel Core i5-1135G7 @ 2.40GHz,4,"9,797","2,686",15,BGA1526,Laptop
AMD Ryzen 3 5300U,4,"9,677","2,350",15,FP6,Laptop
Intel Core i3-1125G4 @ 2.00GHz,4,"9,660","2,485",28,FCBGA1449,Laptop
Intel Core i7-10710U @ 1.10GHz,6,"9,582","2,345",15,FCBGA1528,Laptop
